chebi_id	proteintraitsmech_trait	cofactor_name	microgrowagents_cofactor_id	microgrowagents_category	pfas_name
CHEBI:137373	proteintraitsmech:COFACTOR_REQ_CHEBI_137373	Ni(II)-pyridinium-3,5-bisthiocarboxylate mononucleotide(1−)			
CHEBI:137399	proteintraitsmech:COFACTOR_REQ_CHEBI_137399	Ni(II)-pyridinium-3,5-bisthiocarboxylic acid mononucleotide			
CHEBI:140376	proteintraitsmech:COFACTOR_REQ_CHEBI_140376	cefiderocol			
CHEBI:142778	proteintraitsmech:COFACTOR_REQ_CHEBI_142778	petrobactin(1+)			
CHEBI:143101	proteintraitsmech:COFACTOR_REQ_CHEBI_143101	N-(2,3-dihydroxybenzoyl)serine			
CHEBI:145862	proteintraitsmech:COFACTOR_REQ_CHEBI_145862	mycofactocin	mycofactocin	other	
CHEBI:150862	proteintraitsmech:COFACTOR_REQ_CHEBI_150862	premycofactocin			
CHEBI:155971	proteintraitsmech:COFACTOR_REQ_CHEBI_155971	L-alanyl-4-methylidene-imidazole-5-one-glycyl residue			
CHEBI:157682	proteintraitsmech:COFACTOR_REQ_CHEBI_157682	vanchrobactin			
CHEBI:171659	proteintraitsmech:COFACTOR_REQ_CHEBI_171659	quinolobactin			
CHEBI:177874	proteintraitsmech:COFACTOR_REQ_CHEBI_177874	NiFe4S5 cluster			
CHEBI:196587	proteintraitsmech:COFACTOR_REQ_CHEBI_196587	pseudomonine			
CHEBI:209443	proteintraitsmech:COFACTOR_REQ_CHEBI_209443	bisucaberin B			
CHEBI:231841	proteintraitsmech:COFACTOR_REQ_CHEBI_231841	lanthanum cation			
CHEBI:456215	proteintraitsmech:COFACTOR_REQ_CHEBI_456215	adenosine 5'-monophosphate(2−)			
CHEBI:597326	proteintraitsmech:COFACTOR_REQ_CHEBI_597326	pyridoxal 5'-phosphate(2−)			
CHEBI:747301	proteintraitsmech:COFACTOR_REQ_CHEBI_747301	(S,S)-rhizoferrin			
