chebi_id	proteintraitsmech_trait	cofactor_name	microgrowagents_cofactor_id	microgrowagents_category	pfas_name
CHEBI:17755	proteintraitsmech:COFACTOR_REQ_CHEBI_17755	CoM	coenzyme_m	other	
CHEBI:17803	proteintraitsmech:COFACTOR_REQ_CHEBI_17803	dehydro-D-arabinono-1,4-lactone			
CHEBI:17898	proteintraitsmech:COFACTOR_REQ_CHEBI_17898	retinal	retinal	other	
CHEBI:17905	proteintraitsmech:COFACTOR_REQ_CHEBI_17905	coenzyme M			
CHEBI:17980	proteintraitsmech:COFACTOR_REQ_CHEBI_17980	PAPS	phosphoadenosine_phosphosulfate	energy_cofactors	
CHEBI:17996	proteintraitsmech:COFACTOR_REQ_CHEBI_17996	chloride			
CHEBI:18009	proteintraitsmech:COFACTOR_REQ_CHEBI_18009	NADP+	nadp	nucleotides	
CHEBI:18023	proteintraitsmech:COFACTOR_REQ_CHEBI_18023	sirohydrochlorin			
CHEBI:18067	proteintraitsmech:COFACTOR_REQ_CHEBI_18067	phylloquinone			
CHEBI:18157	proteintraitsmech:COFACTOR_REQ_CHEBI_18157	aerobactin			
CHEBI:18230	proteintraitsmech:COFACTOR_REQ_CHEBI_18230	chlorophyll a			
CHEBI:18248	proteintraitsmech:COFACTOR_REQ_CHEBI_18248	Fe	iron_ion	metals	
CHEBI:18315	proteintraitsmech:COFACTOR_REQ_CHEBI_18315	PQQ	pyrroloquinoline_quinone	other	
CHEBI:18405	proteintraitsmech:COFACTOR_REQ_CHEBI_18405	PLP	pyridoxal_phosphate	vitamins	
CHEBI:18408	proteintraitsmech:COFACTOR_REQ_CHEBI_18408	cobamamide			
CHEBI:18420	proteintraitsmech:COFACTOR_REQ_CHEBI_18420	Mg	magnesium_ion	metals	
CHEBI:23354	proteintraitsmech:COFACTOR_REQ_CHEBI_23354	coenzyme			
CHEBI:23357	proteintraitsmech:COFACTOR_REQ_CHEBI_23357	cofactor			
CHEBI:23378	proteintraitsmech:COFACTOR_REQ_CHEBI_23378	copper cation			
CHEBI:24024	proteintraitsmech:COFACTOR_REQ_CHEBI_24024	MFR	methanofuran	other	
CHEBI:24040	proteintraitsmech:COFACTOR_REQ_CHEBI_24040	flavin adenine dinucleotide			
CHEBI:24041	proteintraitsmech:COFACTOR_REQ_CHEBI_24041	flavin mononucleotide			
CHEBI:24430	proteintraitsmech:COFACTOR_REQ_CHEBI_24430	group transfer coenzymes			
CHEBI:24480	proteintraitsmech:COFACTOR_REQ_CHEBI_24480	heme o			
CHEBI:24875	proteintraitsmech:COFACTOR_REQ_CHEBI_24875	iron cation			
CHEBI:25214	proteintraitsmech:COFACTOR_REQ_CHEBI_25214	metal-sulfur cluster			
CHEBI:25372	proteintraitsmech:COFACTOR_REQ_CHEBI_25372	molybdopterin cofactor			
CHEBI:25374	proteintraitsmech:COFACTOR_REQ_CHEBI_25374	MoCo	molybdenum_cofactor	metals	
CHEBI:25516	proteintraitsmech:COFACTOR_REQ_CHEBI_25516	nickel cation			
CHEBI:25524	proteintraitsmech:COFACTOR_REQ_CHEBI_25524	NAD(P)			
CHEBI:25848	proteintraitsmech:COFACTOR_REQ_CHEBI_25848	pantothenic acids			
CHEBI:26116	proteintraitsmech:COFACTOR_REQ_CHEBI_26116	phytochromobilin			
CHEBI:26214	proteintraitsmech:COFACTOR_REQ_CHEBI_26214	porphyrins			
CHEBI:26348	proteintraitsmech:COFACTOR_REQ_CHEBI_26348	prosthetic group			
CHEBI:26461	proteintraitsmech:COFACTOR_REQ_CHEBI_26461	pyrroloquinoline cofactor			
CHEBI:26671	proteintraitsmech:COFACTOR_REQ_CHEBI_26671	sideramine			
CHEBI:26672	proteintraitsmech:COFACTOR_REQ_CHEBI_26672	siderophore			
CHEBI:27363	proteintraitsmech:COFACTOR_REQ_CHEBI_27363	Zn	zinc_ion	metals	
CHEBI:27470	proteintraitsmech:COFACTOR_REQ_CHEBI_27470	folic acid	folate	vitamins	
CHEBI:27547	proteintraitsmech:COFACTOR_REQ_CHEBI_27547	zeaxanthin			
CHEBI:27888	proteintraitsmech:COFACTOR_REQ_CHEBI_27888	chlorophyll b			
CHEBI:27956	proteintraitsmech:COFACTOR_REQ_CHEBI_27956	L-dehydroascorbic acid			
CHEBI:28115	proteintraitsmech:COFACTOR_REQ_CHEBI_28115	methylcobalamin			
CHEBI:28265	proteintraitsmech:COFACTOR_REQ_CHEBI_28265	coenzyme F430			
CHEBI:28343	proteintraitsmech:COFACTOR_REQ_CHEBI_28343	F420	f420	other	
CHEBI:28599	proteintraitsmech:COFACTOR_REQ_CHEBI_28599	siroheme			
CHEBI:28694	proteintraitsmech:COFACTOR_REQ_CHEBI_28694	Cu	copper_ion	metals	
CHEBI:28788	proteintraitsmech:COFACTOR_REQ_CHEBI_28788	siroheme	siroheme	other	
CHEBI:28855	proteintraitsmech:COFACTOR_REQ_CHEBI_28855	enterobactin			
CHEBI:28889	proteintraitsmech:COFACTOR_REQ_CHEBI_28889	5,6,7,8-tetrahydropteridine			
CHEBI:28890	proteintraitsmech:COFACTOR_REQ_CHEBI_28890	coenzyme B			
CHEBI:28938	proteintraitsmech:COFACTOR_REQ_CHEBI_28938	ammonium			
CHEBI:29033	proteintraitsmech:COFACTOR_REQ_CHEBI_29033	iron(2+)			
CHEBI:29034	proteintraitsmech:COFACTOR_REQ_CHEBI_29034	iron(3+)			
CHEBI:29035	proteintraitsmech:COFACTOR_REQ_CHEBI_29035	Mn	manganese_ion	metals	
CHEBI:29036	proteintraitsmech:COFACTOR_REQ_CHEBI_29036	copper(2+)			
CHEBI:29073	proteintraitsmech:COFACTOR_REQ_CHEBI_29073	L-ascorbic acid			
CHEBI:29101	proteintraitsmech:COFACTOR_REQ_CHEBI_29101	sodium(1+)			
CHEBI:29103	proteintraitsmech:COFACTOR_REQ_CHEBI_29103	potassium(1+)			
CHEBI:29105	proteintraitsmech:COFACTOR_REQ_CHEBI_29105	zinc(2+)			
CHEBI:29108	proteintraitsmech:COFACTOR_REQ_CHEBI_29108	Ca	calcium_ion	metals	
CHEBI:29669	proteintraitsmech:COFACTOR_REQ_CHEBI_29669	pyochelin			
CHEBI:29707	proteintraitsmech:COFACTOR_REQ_CHEBI_29707	yersiniabactin			
CHEBI:30154	proteintraitsmech:COFACTOR_REQ_CHEBI_30154	W	tungsten_ion	metals	
CHEBI:30314	proteintraitsmech:COFACTOR_REQ_CHEBI_30314	lipoate	lipoic_acid	vitamins	
CHEBI:30402	proteintraitsmech:COFACTOR_REQ_CHEBI_30402	bis(molybdopterin)tungsten cofactor			
CHEBI:30408	proteintraitsmech:COFACTOR_REQ_CHEBI_30408	Fe-S cluster	iron_sulfur_clusters	metals	
CHEBI:30409	proteintraitsmech:COFACTOR_REQ_CHEBI_30409	iron-sulfur-molybdenum cofactor			
CHEBI:30411	proteintraitsmech:COFACTOR_REQ_CHEBI_30411	cobalamin			
CHEBI:30413	proteintraitsmech:COFACTOR_REQ_CHEBI_30413	heme b	heme	metals	
CHEBI:30616	proteintraitsmech:COFACTOR_REQ_CHEBI_30616	ATP(4−)			
CHEBI:31959	proteintraitsmech:COFACTOR_REQ_CHEBI_31959	pantethine			
CHEBI:32120	proteintraitsmech:COFACTOR_REQ_CHEBI_32120	sapropterin dihydrochloride			
CHEBI:32816	proteintraitsmech:COFACTOR_REQ_CHEBI_32816	pyruvic acid			
CHEBI:33221	proteintraitsmech:COFACTOR_REQ_CHEBI_33221	corrin			
CHEBI:33336	proteintraitsmech:COFACTOR_REQ_CHEBI_33336	La	lanthanum	metals	
CHEBI:33369	proteintraitsmech:COFACTOR_REQ_CHEBI_33369	Ce	cerium	metals	
CHEBI:33372	proteintraitsmech:COFACTOR_REQ_CHEBI_33372	Nd	neodymium	metals	
CHEBI:33373	proteintraitsmech:COFACTOR_REQ_CHEBI_33373	Dy	dysprosium	metals	
CHEBI:33374	proteintraitsmech:COFACTOR_REQ_CHEBI_33374	Sm	samarium	metals	
CHEBI:33375	proteintraitsmech:COFACTOR_REQ_CHEBI_33375	Eu	europium	metals	
CHEBI:33376	proteintraitsmech:COFACTOR_REQ_CHEBI_33376	Gd	gadolinium	metals	
CHEBI:33377	proteintraitsmech:COFACTOR_REQ_CHEBI_33377	Tb	terbium	metals	
CHEBI:33379	proteintraitsmech:COFACTOR_REQ_CHEBI_33379	Er	erbium	metals	
CHEBI:33380	proteintraitsmech:COFACTOR_REQ_CHEBI_33380	Tm	thulium	metals	
CHEBI:33381	proteintraitsmech:COFACTOR_REQ_CHEBI_33381	Yb	ytterbium	metals	
CHEBI:33382	proteintraitsmech:COFACTOR_REQ_CHEBI_33382	Lu	lutetium	metals	
CHEBI:33401	proteintraitsmech:COFACTOR_REQ_CHEBI_33401	Pr	praseodymium	metals	
CHEBI:33913	proteintraitsmech:COFACTOR_REQ_CHEBI_33913	corrinoid			corrinoid
CHEBI:35104	proteintraitsmech:COFACTOR_REQ_CHEBI_35104	strontium(2+)			
CHEBI:35169	proteintraitsmech:COFACTOR_REQ_CHEBI_35169	dihydrogenvanadate			
CHEBI:35172	proteintraitsmech:COFACTOR_REQ_CHEBI_35172	vanadium cation			
CHEBI:36079	proteintraitsmech:COFACTOR_REQ_CHEBI_36079	polypeptide-derived cofactor			
CHEBI:36183	proteintraitsmech:COFACTOR_REQ_CHEBI_36183	ferriheme a			
CHEBI:36970	proteintraitsmech:COFACTOR_REQ_CHEBI_36970	vitamin B6 phosphate			
CHEBI:37136	proteintraitsmech:COFACTOR_REQ_CHEBI_37136	barium(2+)			
CHEBI:38150	proteintraitsmech:COFACTOR_REQ_CHEBI_38150	enterobactin(6−)			
CHEBI:38290	proteintraitsmech:COFACTOR_REQ_CHEBI_38290	L-ascorbate			
CHEBI:40260	proteintraitsmech:COFACTOR_REQ_CHEBI_40260	6-hydroxy-FAD			
CHEBI:42121	proteintraitsmech:COFACTOR_REQ_CHEBI_42121	dipyrromethane cofactor			
CHEBI:43034	proteintraitsmech:COFACTOR_REQ_CHEBI_43034	7,8-didemethyl-8-hydroxy-5-deazariboflavin			
CHEBI:43474	proteintraitsmech:COFACTOR_REQ_CHEBI_43474	hydrogenphosphate			
CHEBI:44245	proteintraitsmech:COFACTOR_REQ_CHEBI_44245	menaquinone-7			
CHEBI:47739	proteintraitsmech:COFACTOR_REQ_CHEBI_47739	NiFe4S4 cluster			
CHEBI:47942	proteintraitsmech:COFACTOR_REQ_CHEBI_47942	pantetheine 4'-phosphate(2−)			
CHEBI:48775	proteintraitsmech:COFACTOR_REQ_CHEBI_48775	cadmium(2+)			
CHEBI:48782	proteintraitsmech:COFACTOR_REQ_CHEBI_48782	cerium(3+)			
CHEBI:48828	proteintraitsmech:COFACTOR_REQ_CHEBI_48828	Co	cobalt_ion	metals	
CHEBI:49415	proteintraitsmech:COFACTOR_REQ_CHEBI_49415	cobalt(3+)			
CHEBI:49552	proteintraitsmech:COFACTOR_REQ_CHEBI_49552	copper(1+)			
CHEBI:49648	proteintraitsmech:COFACTOR_REQ_CHEBI_49648	Ho	holmium	metals	
CHEBI:49701	proteintraitsmech:COFACTOR_REQ_CHEBI_49701	lanthanum(3+)			
CHEBI:49786	proteintraitsmech:COFACTOR_REQ_CHEBI_49786	Ni	nickel_ion	metals	
CHEBI:49807	proteintraitsmech:COFACTOR_REQ_CHEBI_49807	lead(2+)			
CHEBI:49883	proteintraitsmech:COFACTOR_REQ_CHEBI_49883	tetra-μ3-sulfido-tetrairon			
CHEBI:50437	proteintraitsmech:COFACTOR_REQ_CHEBI_50437	desferrioxamine E			
CHEBI:52020	proteintraitsmech:COFACTOR_REQ_CHEBI_52020	6-decylubiquinone			
CHEBI:52447	proteintraitsmech:COFACTOR_REQ_CHEBI_52447	tetrahydrodictyopterin			
CHEBI:57299	proteintraitsmech:COFACTOR_REQ_CHEBI_57299	ATP(3−)			
CHEBI:57453	proteintraitsmech:COFACTOR_REQ_CHEBI_57453	(6S)-5,6,7,8-tetrahydrofolate(2−)			
CHEBI:57540	proteintraitsmech:COFACTOR_REQ_CHEBI_57540	NAD(1−)			
CHEBI:57586	proteintraitsmech:COFACTOR_REQ_CHEBI_57586	biotinate			
CHEBI:57618	proteintraitsmech:COFACTOR_REQ_CHEBI_57618	FMNH2(2−)			
CHEBI:57692	proteintraitsmech:COFACTOR_REQ_CHEBI_57692	FAD(3−)			
CHEBI:57783	proteintraitsmech:COFACTOR_REQ_CHEBI_57783	NADPH(4−)			
CHEBI:57925	proteintraitsmech:COFACTOR_REQ_CHEBI_57925	glutathionate(1−)			
CHEBI:57945	proteintraitsmech:COFACTOR_REQ_CHEBI_57945	NADH(2−)			
CHEBI:57986	proteintraitsmech:COFACTOR_REQ_CHEBI_57986	riboflavin(1−)			
CHEBI:58130	proteintraitsmech:COFACTOR_REQ_CHEBI_58130	myo-inositol hexakisphosphate(12−)			
CHEBI:58201	proteintraitsmech:COFACTOR_REQ_CHEBI_58201	6,7-dimethyl-8-(1-D-ribityl)lumazine(1−)			
CHEBI:58210	proteintraitsmech:COFACTOR_REQ_CHEBI_58210	FMN(3−)			
CHEBI:58349	proteintraitsmech:COFACTOR_REQ_CHEBI_58349	NADP(3−)			
CHEBI:58351	proteintraitsmech:COFACTOR_REQ_CHEBI_58351	sirohydrochlorin(8−)			
CHEBI:58416	proteintraitsmech:COFACTOR_REQ_CHEBI_58416	chlorophyll a(1−)			
CHEBI:58442	proteintraitsmech:COFACTOR_REQ_CHEBI_58442	pyrroloquinoline quinone(3−)			
CHEBI:58937	proteintraitsmech:COFACTOR_REQ_CHEBI_58937	thiamine(1+) diphosphate(3−)			
CHEBI:59536	proteintraitsmech:COFACTOR_REQ_CHEBI_59536	coenzyme F420-1			
CHEBI:59537	proteintraitsmech:COFACTOR_REQ_CHEBI_59537	coenzyme α-F420-3			
CHEBI:59539	proteintraitsmech:COFACTOR_REQ_CHEBI_59539	coenzyme α-F420-3(5−)			
CHEBI:59541	proteintraitsmech:COFACTOR_REQ_CHEBI_59541	coenzyme γ-F420-2(4−)			
CHEBI:59543	proteintraitsmech:COFACTOR_REQ_CHEBI_59543	coenzyme F420-1(3−)			
CHEBI:59560	proteintraitsmech:COFACTOR_REQ_CHEBI_59560	sapropterin			
CHEBI:59789	proteintraitsmech:COFACTOR_REQ_CHEBI_59789	S-adenosyl-L-methionine zwitterion			
CHEBI:60052	proteintraitsmech:COFACTOR_REQ_CHEBI_60052	heme C	heme_c	metals	
CHEBI:60342	proteintraitsmech:COFACTOR_REQ_CHEBI_60342	dipyrromethane cofactor(4−)			
CHEBI:60344	proteintraitsmech:COFACTOR_REQ_CHEBI_60344	heme A	heme_a	metals	
CHEBI:60357	proteintraitsmech:COFACTOR_REQ_CHEBI_60357	iron-sulfur-vanadium cofactor			
CHEBI:60454	proteintraitsmech:COFACTOR_REQ_CHEBI_60454	Fe-coproporphyrin III			
CHEBI:60470	proteintraitsmech:COFACTOR_REQ_CHEBI_60470	6-hydroxy-FAD(3−)			
CHEBI:60488	proteintraitsmech:COFACTOR_REQ_CHEBI_60488	cob(I)alamin(1−)			
CHEBI:60494	proteintraitsmech:COFACTOR_REQ_CHEBI_60494	5-hydroxybenzimidazolylcob(I)amide(1−)			
CHEBI:60504	proteintraitsmech:COFACTOR_REQ_CHEBI_60504	iron-sulfur-iron cofactor			
CHEBI:60519	proteintraitsmech:COFACTOR_REQ_CHEBI_60519	Fe4S2O2 iron-sulfur-oxygen cluster			
CHEBI:60532	proteintraitsmech:COFACTOR_REQ_CHEBI_60532	ferriheme a(1−)			
CHEBI:60540	proteintraitsmech:COFACTOR_REQ_CHEBI_60540	coenzyme F430(4−)			
CHEBI:60562	proteintraitsmech:COFACTOR_REQ_CHEBI_60562	ferroheme c			
CHEBI:61152	proteintraitsmech:COFACTOR_REQ_CHEBI_61152	desferriexochelin 772MS			
CHEBI:61168	proteintraitsmech:COFACTOR_REQ_CHEBI_61168	desferrimycobactin T			
CHEBI:61202	proteintraitsmech:COFACTOR_REQ_CHEBI_61202	biotin carboxyl carrier protein	biotin_carboxyl_carrier_protein	other	
CHEBI:61338	proteintraitsmech:COFACTOR_REQ_CHEBI_61338	bacillithiol			
CHEBI:61345	proteintraitsmech:COFACTOR_REQ_CHEBI_61345	chrysobactin			
CHEBI:61346	proteintraitsmech:COFACTOR_REQ_CHEBI_61346	achromobactin			
CHEBI:61717	proteintraitsmech:COFACTOR_REQ_CHEBI_61717	ferroheme c(2−)			
CHEBI:61721	proteintraitsmech:COFACTOR_REQ_CHEBI_61721	chlorophyll b(1−)			
CHEBI:61723	proteintraitsmech:COFACTOR_REQ_CHEBI_61723	D-pantetheine 4'-phosphate(2−)			
CHEBI:62579	proteintraitsmech:COFACTOR_REQ_CHEBI_62579	carboxymycobactin			
CHEBI:62733	proteintraitsmech:COFACTOR_REQ_CHEBI_62733	methanophenazine	methanophenazine	other	
CHEBI:62784	proteintraitsmech:COFACTOR_REQ_CHEBI_62784	coenzyme F390-A			
CHEBI:62786	proteintraitsmech:COFACTOR_REQ_CHEBI_62786	coenzyme F390-G			
CHEBI:62811	proteintraitsmech:COFACTOR_REQ_CHEBI_62811	heme d cis-diol			
CHEBI:62814	proteintraitsmech:COFACTOR_REQ_CHEBI_62814	heme d cis-diol(2−)			
CHEBI:63314	proteintraitsmech:COFACTOR_REQ_CHEBI_63314	coenzyme F420-6			
CHEBI:65352	proteintraitsmech:COFACTOR_REQ_CHEBI_65352	achromobactin free acid			
CHEBI:66065	proteintraitsmech:COFACTOR_REQ_CHEBI_66065	IC202A			
CHEBI:66067	proteintraitsmech:COFACTOR_REQ_CHEBI_66067	IC202C			
CHEBI:68438	proteintraitsmech:COFACTOR_REQ_CHEBI_68438	Fe-coproporphyrin III(4−)			
CHEBI:71177	proteintraitsmech:COFACTOR_REQ_CHEBI_71177	tetrahydromonapterin			
