# GO term -> ChEBI (logical-definition cross-products, go-plus.json)
GO:0005351	CHEBI:15378;CHEBI:16646
GO:0005352	CHEBI:15378;CHEBI:60979
GO:0005353	CHEBI:28757
GO:0005354	CHEBI:28260
GO:0005356	CHEBI:15378;CHEBI:4167
GO:0005363	CHEBI:17306
GO:0005364	CHEBI:15378;CHEBI:17306
GO:0005365	CHEBI:17268
GO:0005366	CHEBI:15378;CHEBI:17268
GO:0005367	CHEBI:17268;CHEBI:29101
GO:0005368	CHEBI:507393
GO:0005369	CHEBI:29101;CHEBI:507393
GO:0005371	CHEBI:35753
GO:0005372	CHEBI:15377
GO:0005375	CHEBI:23378
GO:0005381	CHEBI:24875
GO:0005384	CHEBI:29035
GO:0005385	CHEBI:29105
GO:0005388	CHEBI:29108
GO:0005391	CHEBI:29101;CHEBI:29103
GO:0005402	CHEBI:16646;CHEBI:23906
GO:0005412	CHEBI:29101;CHEBI:4167
GO:0005415	CHEBI:29101;CHEBI:33838
GO:0005416	CHEBI:23906;CHEBI:35238
GO:0005432	CHEBI:29101;CHEBI:29108
GO:0005436	CHEBI:29101;CHEBI:43474
GO:0005452	CHEBI:24834
GO:0005456	CHEBI:57812
GO:0005457	CHEBI:64608
GO:0005458	CHEBI:57527
GO:0005460	CHEBI:58367
GO:0005461	CHEBI:58052
GO:0005462	CHEBI:57705
GO:0005464	CHEBI:57632
GO:0005469	CHEBI:29806;CHEBI:30031
GO:0005471	CHEBI:30616;CHEBI:456216
GO:0005476	CHEBI:17126;CHEBI:75659
GO:0005477	CHEBI:15361
GO:0005496	CHEBI:35341
GO:0005499	CHEBI:27300
GO:0005500	CHEBI:24943
GO:0005501	CHEBI:26537
GO:0005502	CHEBI:16066
GO:0005503	CHEBI:17898
GO:0005504	CHEBI:28868
GO:0005506	CHEBI:24875
GO:0005507	CHEBI:23378
GO:0005509	CHEBI:29108
GO:0005524	CHEBI:30616
GO:0005525	CHEBI:37565
GO:0005527	CHEBI:25106
GO:0005528	CHEBI:61049
GO:0005534	CHEBI:28260
GO:0005536	CHEBI:4167
GO:0005537	CHEBI:37684
GO:0005539	CHEBI:18085
GO:0005540	CHEBI:132153
GO:0005542	CHEBI:62501
GO:0005543	CHEBI:16247
GO:0005545	CHEBI:16749
GO:0005546	CHEBI:58456
GO:0005547	CHEBI:57836
GO:0005975	CHEBI:16646
GO:0005976	CHEBI:18154
GO:0005977	CHEBI:28087
GO:0005978	CHEBI:28087
GO:0005980	CHEBI:28087
GO:0005982	CHEBI:28017
GO:0005983	CHEBI:28017
GO:0005984	CHEBI:36233
GO:0005985	CHEBI:17992
GO:0005986	CHEBI:17992
GO:0005987	CHEBI:17992
GO:0005988	CHEBI:17716
GO:0005989	CHEBI:17716
GO:0005990	CHEBI:17716
GO:0005991	CHEBI:27082
GO:0005992	CHEBI:27082
GO:0005993	CHEBI:27082
GO:0005995	CHEBI:28053
GO:0005996	CHEBI:35381
GO:0005997	CHEBI:27353
GO:0005998	CHEBI:27353
GO:0005999	CHEBI:27353
GO:0006000	CHEBI:28757
GO:0006001	CHEBI:28757
GO:0006002	CHEBI:57579
GO:0006003	CHEBI:58579
GO:0006004	CHEBI:33984
GO:0006005	CHEBI:2181
GO:0006006	CHEBI:4167
GO:0006007	CHEBI:4167
GO:0006011	CHEBI:58885
GO:0006012	CHEBI:28260
GO:0006013	CHEBI:37684
GO:0006014	CHEBI:16988
GO:0006015	CHEBI:58017
GO:0006016	CHEBI:19564
GO:0006018	CHEBI:19564
GO:0006020	CHEBI:24848
GO:0006021	CHEBI:24848
GO:0006022	CHEBI:22506
GO:0006023	CHEBI:22506
GO:0006024	CHEBI:18085
GO:0006026	CHEBI:22506
GO:0006027	CHEBI:18085
GO:0006029	CHEBI:37396
GO:0006030	CHEBI:17029
GO:0006031	CHEBI:17029
GO:0006032	CHEBI:17029
GO:0006040	CHEBI:28963
GO:0006041	CHEBI:58723
GO:0006042	CHEBI:58723
GO:0006043	CHEBI:58723
GO:0006044	CHEBI:506227
GO:0006045	CHEBI:506227
GO:0006046	CHEBI:506227
GO:0006047	CHEBI:57705
GO:0006048	CHEBI:57705
GO:0006051	CHEBI:62164
GO:0006052	CHEBI:62164
GO:0006053	CHEBI:62164
GO:0006054	CHEBI:35418
GO:0006055	CHEBI:57812
GO:0006059	CHEBI:24583
GO:0006060	CHEBI:17924
GO:0006061	CHEBI:17924
GO:0006062	CHEBI:17924
GO:0006064	CHEBI:24297
GO:0006065	CHEBI:58052
GO:0006066	CHEBI:30879
GO:0006067	CHEBI:16236
GO:0006068	CHEBI:16236
GO:0006070	CHEBI:16188
GO:0006071	CHEBI:17754
GO:0006072	CHEBI:57597
GO:0006074	CHEBI:37671
GO:0006075	CHEBI:37671
GO:0006076	CHEBI:37671
GO:0006077	CHEBI:27380
GO:0006078	CHEBI:27380
GO:0006079	CHEBI:27380
GO:0006080	CHEBI:61298
GO:0006081	CHEBI:17478
GO:0006083	CHEBI:30089
GO:0006084	CHEBI:57288
GO:0006085	CHEBI:57288
GO:0006086	CHEBI:57288;CHEBI:15361
GO:0006089	CHEBI:24996
GO:0006090	CHEBI:15361
GO:0006094	CHEBI:4167
GO:0006096	CHEBI:15361;CHEBI:30616;CHEBI:57783;CHEBI:13390;CHEBI:456216
GO:0006098	CHEBI:57783;CHEBI:58247;CHEBI:58349
GO:0006101	CHEBI:16947
GO:0006102	CHEBI:16087
GO:0006103	CHEBI:16810
GO:0006104	CHEBI:57292
GO:0006105	CHEBI:30031
GO:0006106	CHEBI:29806
GO:0006107	CHEBI:16452
GO:0006108	CHEBI:15595
GO:0006114	CHEBI:17754
GO:0006115	CHEBI:16236
GO:0006117	CHEBI:15343
GO:0006124	CHEBI:5017
GO:0006127	CHEBI:57540;CHEBI:57945
GO:0006139	CHEBI:61120
GO:0006144	CHEBI:26386
GO:0006145	CHEBI:26386
GO:0006146	CHEBI:16708
GO:0006147	CHEBI:16235
GO:0006148	CHEBI:17596
GO:0006149	CHEBI:28997
GO:0006152	CHEBI:26394
